,種類,質問,回答,Positive,Negative,Hard-Negative
20,Q1,山形県の人口は107万人くらいですか？,107万人くらいです。,[984],"[696, 709, 86]","[934, 884, 293]"
21,Q1,山形県の人口は301万人くらいですか？,301万人よりも少ないです。,[984],"[189, 200, 583]","[436, 53, 340]"
22,Q1,山形県の人口は1337万人くらいですか？,1337万人よりも少ないです。,[984],"[259, 821, 555]","[101, 53, 293]"
23,Q1,山形県の人口は693万人くらいですか？,693万人よりも少ないです。,[984],"[787, 720, 800]","[197, 784, 149]"
24,Q1,福島県の人口は203万人くらいですか？,203万人くらいです。,[985],"[996, 874, 542]","[785, 835, 985]"
25,Q1,福島県の人口は1100万人くらいですか？,1100万人よりも少ないです。,[985],"[662, 322, 663]","[102, 885, 835]"
26,Q1,福島県の人口は440万人くらいですか？,440万人よりも少ないです。,[985],"[297, 449, 484]","[294, 635, 437]"
27,Q1,福島県の人口は605万人くらいですか？,605万人よりも少ないです。,[985],"[639, 19, 983]","[635, 685, 785]"
28,Q1,茨城県の人口は266万人くらいですか？,266万人くらいです。,[986],"[879, 230, 571]","[586, 686, 836]"
29,Q1,茨城県の人口は107万人くらいですか？,107万人よりも多いです。,[986],"[797, 356, 473]","[786, 636, 986]"
30,Q1,茨城県の人口は201万人くらいですか？,201万人よりも多いです。,[986],"[901, 417, 946]","[936, 390, 295]"
31,Q1,茨城県の人口は533万人くらいですか？,533万人よりも少ないです。,[986],"[388, 131, 502]","[247, 686, 7]"
32,Q1,栃木県の人口は185万人くらいですか？,185万人くらいです。,[987],"[770, 630, 567]","[537, 391, 687]"
33,Q1,栃木県の人口は838万人くらいですか？,838万人よりも少ないです。,[987],"[422, 109, 38]","[937, 200, 537]"
34,Q1,栃木県の人口は1223万人くらいですか？,1223万人よりも少ないです。,[987],"[151, 550, 807]","[687, 152, 887]"
35,Q1,栃木県の人口は835万人くらいですか？,835万人よりも少ないです。,[987],"[76, 605, 220]","[200, 937, 104]"
36,Q1,群馬県の人口は183万人くらいですか？,183万人くらいです。,[988],"[364, 760, 992]","[153, 738, 938]"
37,Q1,群馬県の人口は445万人くらいですか？,445万人よりも少ないです。,[988],"[253, 418, 1024]","[153, 738, 249]"
38,Q1,群馬県の人口は1014万人くらいですか？,1014万人よりも少ないです。,[988],"[829, 87, 363]","[838, 888, 153]"
39,Q1,群馬県の人口は1033万人くらいですか？,1033万人よりも少ないです。,[988],"[982, 700, 832]","[297, 538, 838]"
40,Q1,埼玉県の人口は746万人くらいですか？,746万人くらいです。,[989],"[874, 220, 281]","[589, 441, 345]"
41,Q1,埼玉県の人口は293万人くらいですか？,293万人よりも多いです。,[989],"[1005, 378, 222]","[298, 689, 154]"
42,Q1,埼玉県の人口は470万人くらいですか？,470万人よりも多いです。,[989],"[236, 716, 931]","[939, 106, 10]"
43,Q1,埼玉県の人口は849万人くらいですか？,849万人くらいです。,[989],"[618, 39, 960]","[839, 58, 539]"
44,Q1,千葉県の人口は677万人くらいですか？,677万人くらいです。,[990],"[973, 803, 683]","[11, 740, 251]"
45,Q1,千葉県の人口は1298万人くらいですか？,1298万人よりも少ないです。,[990],"[567, 151, 94]","[251, 203, 540]"
46,Q1,千葉県の人口は529万人くらいですか？,529万人くらいです。,[990],"[767, 292, 557]","[490, 740, 346]"
47,Q1,千葉県の人口は936万人くらいですか？,936万人よりも少ないです。,[990],"[337, 765, 387]","[11, 442, 890]"
48,Q1,東京都の人口は1231万人くらいですか？,1231万人くらいです。,[991],"[162, 183, 1003]","[60, 395, 300]"
49,Q1,東京都の人口は519万人くらいですか？,519万人よりも多いです。,[991],"[385, 938, 813]","[12, 791, 252]"
50,Q1,東京都の人口は1188万人くらいですか？,1188万人くらいです。,[991],"[413, 354, 40]","[791, 841, 156]"
51,Q1,東京都の人口は1082万人くらいですか？,1082万人くらいです。,[991],"[88, 282, 579]","[541, 60, 941]"
52,Q1,神奈川県の人口は1001万人くらいですか？,1001万人くらいです。,[992],"[110, 1006, 41]","[892, 842, 109]"
53,Q1,神奈川県の人口は1213万人くらいですか？,1213万人よりも少ないです。,[992],"[646, 564, 554]","[542, 592, 642]"
54,Q1,神奈川県の人口は545万人くらいですか？,545万人よりも多いです。,[992],"[937, 788, 37]","[444, 892, 992]"
55,Q1,神奈川県の人口は366万人くらいですか？,366万人よりも多いです。,[992],"[514, 908, 753]","[592, 396, 892]"
56,Q1,新潟県の人口は209万人くらいですか？,209万人くらいです。,[993],"[796, 339, 664]","[158, 493, 943]"
57,Q1,新潟県の人口は308万人くらいですか？,308万人よりも少ないです。,[993],"[253, 13, 219]","[543, 254, 843]"
58,Q1,新潟県の人口は668万人くらいですか？,668万人よりも少ないです。,[993],"[359, 319, 802]","[206, 397, 110]"
59,Q1,新潟県の人口は277万人くらいですか？,277万人よりも少ないです。,[993],"[182, 364, 330]","[693, 593, 643]"
60,Q1,富山県の人口は106万人くらいですか？,106万人くらいです。,[994],"[601, 1007, 313]","[944, 255, 494]"
61,Q1,富山県の人口は1212万人くらいですか？,1212万人よりも少ないです。,[994],"[729, 566, 405]","[794, 63, 944]"
62,Q1,富山県の人口は417万人くらいですか？,417万人よりも少ないです。,[994],"[34, 556, 567]","[398, 844, 944]"
63,Q1,富山県の人口は92万人くらいですか？,92万人くらいです。,[994],"[809, 158, 845]","[255, 994, 446]"
64,Q1,石川県の人口は122万人くらいですか？,122万人くらいです。,[995],"[233, 117, 666]","[845, 16, 447]"
65,Q1,石川県の人口は1085万人くらいですか？,1085万人よりも少ないです。,[995],"[509, 700, 913]","[645, 695, 160]"
66,Q1,石川県の人口は943万人くらいですか？,943万人よりも少ないです。,[995],"[779, 796, 135]","[695, 845, 112]"
67,Q1,石川県の人口は372万人くらいですか？,372万人よりも少ないです。,[995],"[567, 410, 461]","[995, 64, 399]"
68,Q1,福井県の人口は72万人くらいですか？,72万人くらいです。,[996],"[467, 418, 323]","[646, 746, 696]"
69,Q1,福井県の人口は933万人くらいですか？,933万人よりも少ないです。,[996],"[179, 456, 178]","[448, 996, 257]"
70,Q1,福井県の人口は197万人くらいですか？,197万人よりも少ないです。,[996],"[732, 106, 264]","[846, 546, 305]"
71,Q1,福井県の人口は533万人くらいですか？,533万人よりも少ないです。,[996],"[154, 929, 380]","[746, 496, 161]"
72,Q1,山梨県の人口は82万人くらいですか？,82万人くらいです。,[997],"[28, 44, 117]","[401, 997, 797]"
73,Q1,山梨県の人口は273万人くらいですか？,273万人よりも少ないです。,[997],"[494, 608, 311]","[797, 697, 353]"
74,Q1,山梨県の人口は1178万人くらいですか？,1178万人よりも少ないです。,[997],"[390, 679, 150]","[647, 401, 306]"
75,Q1,山梨県の人口は167万人くらいですか？,167万人よりも少ないです。,[997],"[225, 276, 368]","[18, 162, 401]"
76,Q1,長野県の人口は198万人くらいですか？,198万人くらいです。,[998],"[809, 123, 372]","[259, 698, 598]"
77,Q1,長野県の人口は573万人くらいですか？,573万人よりも少ないです。,[998],"[72, 688, 399]","[848, 648, 948]"
78,Q1,長野県の人口は534万人くらいですか？,534万人よりも少ないです。,[998],"[989, 40, 415]","[354, 548, 948]"
79,Q1,長野県の人口は1034万人くらいですか？,1034万人よりも少ないです。,[998],"[155, 623, 862]","[898, 450, 798]"
80,Q1,岐阜県の人口は219万人くらいですか？,219万人くらいです。,[999],"[851, 964, 824]","[899, 949, 260]"
81,Q1,岐阜県の人口は272万人くらいですか？,272万人よりも少ないです。,[999],"[246, 637, 489]","[403, 549, 749]"
82,Q1,岐阜県の人口は371万人くらいですか？,371万人よりも少ないです。,[999],"[670, 210, 790]","[849, 68, 749]"
83,Q1,岐阜県の人口は340万人くらいですか？,340万人よりも少ないです。,[999],"[898, 50, 471]","[403, 260, 68]"
84,Q1,静岡県の人口は345万人くらいですか？,345万人くらいです。,[1000],"[799, 159, 967]","[900, 309, 700]"
85,Q1,静岡県の人口は380万人くらいですか？,380万人くらいです。,[1000],"[299, 166, 641]","[261, 650, 950]"
86,Q1,静岡県の人口は1095万人くらいですか？,1095万人よりも少ないです。,[1000],"[545, 492, 401]","[900, 700, 117]"
87,Q1,静岡県の人口は521万人くらいですか？,521万人よりも少ないです。,[1000],"[961, 765, 960]","[213, 700, 1000]"
88,Q1,愛知県の人口は717万人くらいですか？,717万人くらいです。,[1001],"[168, 419, 762]","[501, 166, 651]"
89,Q1,愛知県の人口は1292万人くらいですか？,1292万人よりも少ないです。,[1001],"[293, 910, 275]","[951, 651, 70]"
90,Q1,愛知県の人口は743万人くらいですか？,743万人くらいです。,[1001],"[502, 970, 17]","[453, 405, 501]"
91,Q1,愛知県の人口は672万人くらいですか？,672万人くらいです。,[1001],"[19, 581, 530]","[651, 551, 851]"
92,Q1,三重県の人口は165万人くらいですか？,165万人くらいです。,[1002],"[27, 1010, 734]","[263, 702, 802]"
93,Q1,三重県の人口は947万人くらいですか？,947万人よりも少ないです。,[1002],"[371, 379, 915]","[752, 454, 502]"
94,Q1,三重県の人口は1323万人くらいですか？,1323万人よりも少ないです。,[1002],"[117, 142, 448]","[167, 902, 502]"
95,Q1,三重県の人口は1010万人くらいですか？,1010万人よりも少ないです。,[1002],"[133, 480, 723]","[71, 167, 406]"
96,Q1,滋賀県の人口は127万人くらいですか？,127万人くらいです。,[1003],"[146, 464, 989]","[455, 264, 603]"
97,Q1,滋賀県の人口は66万人くらいですか？,66万人よりも多いです。,[1003],"[880, 666, 252]","[503, 24, 1003]"
98,Q1,滋賀県の人口は474万人くらいですか？,474万人よりも少ないです。,[1003],"[844, 433, 943]","[1003, 359, 653]"
99,Q1,滋賀県の人口は1021万人くらいですか？,1021万人よりも少ないです。,[1003],"[58, 757, 833]","[553, 903, 312]"
100,Q1,京都府の人口は280万人くらいですか？,280万人くらいです。,[1004],"[821, 731, 192]","[169, 554, 313]"
101,Q1,京都府の人口は1165万人くらいですか？,1165万人よりも少ないです。,[1004],"[53, 158, 656]","[360, 954, 854]"
102,Q1,京都府の人口は925万人くらいですか？,925万人よりも少ないです。,[1004],"[729, 417, 165]","[25, 604, 754]"
103,Q1,京都府の人口は634万人くらいですか？,634万人よりも少ないです。,[1004],"[358, 740, 564]","[704, 954, 408]"
104,Q1,大阪府の人口は807万人くらいですか？,807万人くらいです。,[1005],"[808, 566, 534]","[855, 1005, 955]"
105,Q1,大阪府の人口は1025万人くらいですか？,1025万人くらいです。,[1005],"[102, 704, 606]","[26, 266, 74]"
106,Q1,大阪府の人口は1080万人くらいですか？,1080万人よりも少ないです。,[1005],"[608, 695, 667]","[1005, 655, 409]"
107,Q1,大阪府の人口は890万人くらいですか？,890万人くらいです。,[1005],"[245, 244, 704]","[805, 905, 457]"
108,Q1,兵庫県の人口は569万人くらいですか？,569万人くらいです。,[1006],"[902, 224, 831]","[458, 362, 1006]"
109,Q1,兵庫県の人口は327万人くらいですか？,327万人よりも多いです。,[1006],"[713, 46, 983]","[656, 506, 219]"
110,Q1,兵庫県の人口は291万人くらいですか？,291万人よりも多いです。,[1006],"[920, 505, 989]","[362, 75, 656]"
111,Q1,兵庫県の人口は589万人くらいですか？,589万人くらいです。,[1006],"[835, 68, 286]","[1006, 410, 506]"
112,Q1,奈良県の人口は128万人くらいですか？,128万人くらいです。,[1007],"[874, 653, 824]","[220, 857, 607]"
113,Q1,奈良県の人口は1176万人くらいですか？,1176万人よりも少ないです。,[1007],"[442, 506, 672]","[807, 124, 76]"
114,Q1,奈良県の人口は211万人くらいですか？,211万人よりも少ないです。,[1007],"[632, 39, 974]","[459, 411, 507]"
115,Q1,奈良県の人口は657万人くらいですか？,657万人よりも少ないです。,[1007],"[469, 442, 833]","[757, 363, 172]"
116,Q1,和歌山県の人口は102万人くらいですか？,102万人くらいです。,[1008],"[673, 178, 408]","[77, 269, 364]"
117,Q1,和歌山県の人口は858万人くらいですか？,858万人よりも少ないです。,[1008],"[743, 233, 738]","[758, 658, 317]"
118,Q1,和歌山県の人口は637万人くらいですか？,637万人よりも少ないです。,[1008],"[428, 226, 515]","[808, 908, 558]"
119,Q1,和歌山県の人口は106万人くらいですか？,106万人くらいです。,[1008],"[345, 801, 704]","[221, 29, 1008]"
120,Q1,鳥取県の人口は60万人くらいですか？,60万人くらいです。,[1009],"[451, 147, 1003]","[30, 659, 318]"
121,Q1,鳥取県の人口は940万人くらいですか？,940万人よりも少ないです。,[1009],"[6, 504, 53]","[461, 909, 270]"
122,Q1,鳥取県の人口は748万人くらいですか？,748万人よりも少ないです。,[1009],"[591, 938, 664]","[222, 809, 126]"
123,Q1,鳥取県の人口は1315万人くらいですか？,1315万人よりも少ないです。,[1009],"[715, 788, 14]","[413, 365, 270]"
124,Q1,島根県の人口は73万人くらいですか？,73万人くらいです。,[1010],"[1024, 535, 543]","[127, 660, 560]"
125,Q1,島根県の人口は624万人くらいですか？,624万人よりも少ないです。,[1010],"[437, 498, 949]","[810, 910, 560]"
126,Q1,島根県の人口は559万人くらいですか？,559万人よりも少ないです。,[1010],"[996, 413, 6]","[31, 1010, 960]"
127,Q1,島根県の人口は347万人くらいですか？,347万人よりも少ないです。,[1010],"[1001, 7, 811]","[271, 127, 319]"
128,Q1,岡山県の人口は190万人くらいですか？,190万人くらいです。,[1011],"[696, 283, 231]","[611, 176, 861]"
129,Q1,岡山県の人口は907万人くらいですか？,907万人よりも少ないです。,[1011],"[343, 836, 277]","[961, 176, 861]"
130,Q1,岡山県の人口は321万人くらいですか？,321万人よりも少ないです。,[1011],"[1005, 903, 254]","[1011, 811, 961]"
131,Q1,岡山県の人口は644万人くらいですか？,644万人よりも少ないです。,[1011],"[38, 596, 131]","[911, 272, 415]"
132,Q1,広島県の人口は295万人くらいですか？,295万人くらいです。,[1012],"[461, 561, 887]","[177, 662, 225]"
133,Q1,広島県の人口は142万人くらいですか？,142万人よりも多いです。,[1012],"[498, 736, 383]","[1012, 962, 368]"
134,Q1,広島県の人口は1018万人くらいですか？,1018万人よりも少ないです。,[1012],"[319, 55, 1021]","[512, 81, 712]"
135,Q1,広島県の人口は314万人くらいですか？,314万人くらいです。,[1012],"[378, 40, 507]","[225, 612, 368]"
136,Q1,山口県の人口は126万人くらいですか？,126万人くらいです。,[1013],"[164, 991, 655]","[369, 813, 663]"
137,Q1,山口県の人口は207万人くらいですか？,207万人よりも少ないです。,[1013],"[146, 9, 669]","[513, 417, 82]"
138,Q1,山口県の人口は807万人くらいですか？,807万人よりも少ないです。,[1013],"[831, 347, 268]","[863, 34, 1013]"
139,Q1,山口県の人口は1058万人くらいですか？,1058万人よりも少ないです。,[1013],"[318, 816, 737]","[913, 513, 34]"
140,Q1,徳島県の人口は70万人くらいですか？,70万人くらいです。,[1014],"[991, 553, 973]","[664, 418, 466]"
141,Q1,徳島県の人口は670万人くらいですか？,670万人よりも少ないです。,[1014],"[437, 188, 873]","[83, 764, 814]"
142,Q1,徳島県の人口は1336万人くらいですか？,1336万人よりも少ないです。,[1014],"[93, 344, 1023]","[83, 514, 814]"
143,Q1,徳島県の人口は1073万人くらいですか？,1073万人よりも少ないです。,[1014],"[694, 250, 772]","[1014, 418, 814]"
144,Q1,香川県の人口は92万人くらいですか？,92万人くらいです。,[1015],"[908, 974, 550]","[915, 665, 715]"
145,Q1,香川県の人口は839万人くらいですか？,839万人よりも少ないです。,[1015],"[289, 295, 589]","[467, 1015, 765]"
146,Q1,香川県の人口は559万人くらいですか？,559万人よりも少ないです。,[1015],"[434, 155, 545]","[36, 665, 765]"
147,Q1,香川県の人口は540万人くらいですか？,540万人よりも少ないです。,[1015],"[940, 92, 77]","[180, 84, 765]"
148,Q1,愛媛県の人口は141万人くらいですか？,141万人くらいです。,[1016],"[896, 544, 296]","[616, 420, 516]"
149,Q1,愛媛県の人口は1281万人くらいですか？,1281万人よりも少ないです。,[1016],"[156, 112, 584]","[85, 37, 866]"
150,Q1,愛媛県の人口は768万人くらいですか？,768万人よりも少ないです。,[1016],"[887, 581, 392]","[372, 766, 181]"
151,Q1,愛媛県の人口は767万人くらいですか？,767万人よりも少ないです。,[1016],"[544, 63, 288]","[37, 566, 766]"
152,Q1,高知県の人口は68万人くらいですか？,68万人くらいです。,[1017],"[116, 600, 720]","[817, 867, 373]"
153,Q1,高知県の人口は296万人くらいですか？,296万人よりも少ないです。,[1017],"[483, 648, 485]","[373, 86, 230]"
154,Q1,高知県の人口は184万人くらいですか？,184万人よりも少ないです。,[1017],"[634, 535, 561]","[867, 967, 326]"
155,Q1,高知県の人口は759万人くらいですか？,759万人よりも少ないです。,[1017],"[327, 482, 557]","[134, 917, 1017]"
156,Q1,福岡県の人口は539万人くらいですか？,539万人くらいです。,[1018],"[985, 163, 638]","[1018, 668, 135]"
157,Q1,福岡県の人口は1054万人くらいですか？,1054万人よりも少ないです。,[1018],"[193, 560, 298]","[618, 768, 668]"
158,Q1,福岡県の人口は1043万人くらいですか？,1043万人よりも少ないです。,[1018],"[736, 336, 517]","[374, 1018, 183]"
159,Q1,福岡県の人口は298万人くらいですか？,298万人よりも多いです。,[1018],"[758, 760, 585]","[470, 618, 818]"
160,Q1,佐賀県の人口は89万人くらいですか？,89万人くらいです。,[1019],"[512, 156, 494]","[471, 423, 280]"
161,Q1,佐賀県の人口は917万人くらいですか？,917万人よりも少ないです。,[1019],"[357, 520, 742]","[40, 919, 669]"
162,Q1,佐賀県の人口は257万人くらいですか？,257万人よりも少ないです。,[1019],"[164, 275, 607]","[423, 280, 769]"
163,Q1,佐賀県の人口は202万人くらいですか？,202万人よりも少ないです。,[1019],"[366, 182, 651]","[1019, 88, 471]"
164,Q1,長崎県の人口は142万人くらいですか？,142万人くらいです。,[1020],"[279, 597, 621]","[970, 670, 870]"
165,Q1,長崎県の人口は575万人くらいですか？,575万人よりも少ないです。,[1020],"[990, 593, 992]","[770, 720, 329]"
166,Q1,長崎県の人口は408万人くらいですか？,408万人よりも少ないです。,[1020],"[133, 886, 631]","[870, 820, 376]"
167,Q1,長崎県の人口は355万人くらいですか？,355万人よりも少ないです。,[1020],"[657, 255, 694]","[920, 520, 185]"
168,Q1,熊本県の人口は175万人くらいですか？,175万人くらいです。,[1021],"[225, 696, 560]","[721, 473, 521]"
169,Q1,熊本県の人口は782万人くらいですか？,782万人よりも少ないです。,[1021],"[887, 392, 814]","[42, 234, 571]"
170,Q1,熊本県の人口は63万人くらいですか？,63万人よりも多いです。,[1021],"[362, 514, 655]","[234, 473, 42]"
171,Q1,熊本県の人口は878万人くらいですか？,878万人よりも少ないです。,[1021],"[448, 67, 467]","[282, 138, 921]"
172,Q1,大分県の人口は110万人くらいですか？,110万人くらいです。,[1022],"[168, 304, 317]","[426, 572, 922]"
173,Q1,大分県の人口は583万人くらいですか？,583万人よりも少ないです。,[1022],"[548, 205, 137]","[572, 235, 91]"
174,Q1,大分県の人口は92万人くらいですか？,92万人よりも多いです。,[1022],"[1006, 282, 630]","[572, 43, 235]"
175,Q1,大分県の人口は678万人くらいですか？,678万人よりも少ないです。,[1022],"[715, 288, 931]","[622, 522, 922]"
176,Q1,宮崎県の人口は99万人くらいですか？,99万人くらいです。,[1023],"[17, 387, 652]","[573, 332, 1023]"
177,Q1,宮崎県の人口は448万人くらいですか？,448万人よりも少ないです。,[1023],"[293, 168, 5]","[773, 284, 823]"
178,Q1,宮崎県の人口は181万人くらいですか？,181万人よりも少ないです。,[1023],"[357, 274, 685]","[973, 573, 284]"
179,Q1,宮崎県の人口は181万人くらいですか？,181万人よりも少ないです。,[1023],"[980, 256, 0]","[723, 475, 773]"
180,Q1,鹿児島県の人口は165万人くらいですか？,165万人くらいです。,[1024],"[664, 655, 202]","[624, 189, 724]"
181,Q1,鹿児島県の人口は693万人くらいですか？,693万人よりも少ないです。,[1024],"[582, 228, 563]","[380, 1024, 674]"
182,Q1,鹿児島県の人口は1239万人くらいですか？,1239万人よりも少ないです。,[1024],"[51, 709, 226]","[333, 93, 237]"
183,Q1,鹿児島県の人口は587万人くらいですか？,587万人よりも少ないです。,[1024],"[757, 14, 365]","[774, 924, 574]"
184,Q1,沖縄県の人口は154万人くらいですか？,154万人くらいです。,[1025],"[104, 206, 862]","[286, 725, 46]"
185,Q1,沖縄県の人口は1046万人くらいですか？,1046万人よりも少ないです。,[1025],"[308, 700, 158]","[429, 775, 477]"
186,Q1,沖縄県の人口は670万人くらいですか？,670万人よりも少ないです。,[1025],"[920, 3, 325]","[238, 725, 477]"
187,Q1,沖縄県の人口は213万人くらいですか？,213万人よりも少ないです。,[1025],"[130, 752, 855]","[525, 725, 142]"
188,Q2,北海道の面積は82902km2くらいですか？,82902km2くらいです。,[0],"[481, 98, 354]","[192, 335, 729]"
189,Q2,北海道の面積は71759km2くらいですか？,71759km2くらいです。,[0],"[780, 505, 323]","[679, 383, 729]"
190,Q2,北海道の面積は37249km2くらいですか？,37249km2よりも大きいです。,[0],"[230, 992, 309]","[48, 335, 240]"
191,Q2,北海道の面積は2248km2くらいですか？,2248km2よりも大きいです。,[0],"[114, 674, 754]","[383, 0, 192]"
192,Q2,青森県の面積は9999km2くらいですか？,9999km2くらいです。,[1],"[642, 540, 80]","[336, 97, 49]"
193,Q2,青森県の面積は5405km2くらいですか？,5405km2よりも大きいです。,[1],"[485, 758, 267]","[680, 145, 336]"
194,Q2,青森県の面積は38262km2くらいですか？,38262km2よりも小さいです。,[1],"[370, 632, 666]","[336, 780, 193]"
195,Q2,青森県の面積は73056km2くらいですか？,73056km2よりも小さいです。,[1],"[69, 714, 46]","[480, 336, 980]"
196,Q2,岩手県の面積は15983km2くらいですか？,15983km2くらいです。,[2],"[124, 235, 823]","[731, 481, 146]"
197,Q2,岩手県の面積は30777km2くらいですか？,30777km2よりも小さいです。,[2],"[779, 847, 46]","[831, 631, 385]"
198,Q2,岩手県の面積は65163km2くらいですか？,65163km2よりも小さいです。,[2],"[649, 917, 954]","[481, 2, 433]"
199,Q2,岩手県の面積は46594km2くらいですか？,46594km2よりも小さいです。,[2],"[504, 211, 813]","[98, 433, 242]"
200,Q2,宮城県の面積は6488km2くらいですか？,6488km2くらいです。,[3],"[139, 217, 284]","[3, 99, 932]"
201,Q2,宮城県の面積は25164km2くらいですか？,25164km2よりも小さいです。,[3],"[207, 1009, 440]","[582, 982, 682]"
202,Q2,宮城県の面積は52674km2くらいですか？,52674km2よりも小さいです。,[3],"[454, 761, 401]","[982, 732, 99]"
203,Q2,宮城県の面積は36566km2くらいですか？,36566km2よりも小さいです。,[3],"[1000, 310, 753]","[882, 632, 434]"
204,Q2,秋田県の面積は11967km2くらいですか？,11967km2くらいです。,[4],"[489, 699, 494]","[387, 983, 733]"
205,Q2,秋田県の面積は63368km2くらいですか？,63368km2よりも小さいです。,[4],"[1009, 888, 23]","[933, 633, 733]"
206,Q2,秋田県の面積は16558km2くらいですか？,16558km2よりも小さいです。,[4],"[369, 779, 214]","[533, 883, 435]"
207,Q2,秋田県の面積は65700km2くらいですか？,65700km2よりも小さいです。,[4],"[283, 832, 247]","[387, 533, 733]"
208,Q2,山形県の面積は8867km2くらいですか？,8867km2くらいです。,[5],"[612, 974, 825]","[245, 534, 101]"
209,Q2,山形県の面積は33990km2くらいですか？,33990km2よりも小さいです。,[5],"[720, 539, 964]","[436, 484, 5]"
210,Q2,山形県の面積は56956km2くらいですか？,56956km2よりも小さいです。,[5],"[546, 844, 185]","[634, 149, 584]"
211,Q2,山形県の面積は69248km2くらいですか？,69248km2よりも小さいです。,[5],"[300, 359, 741]","[436, 197, 934]"
212,Q2,福島県の面積は13896km2くらいですか？,13896km2くらいです。,[6],"[719, 90, 644]","[198, 635, 389]"
213,Q2,福島県の面積は2049km2くらいですか？,2049km2よりも大きいです。,[6],"[146, 930, 786]","[785, 294, 102]"
214,Q2,福島県の面積は18258km2くらいですか？,18258km2よりも小さいです。,[6],"[906, 418, 156]","[985, 294, 685]"
215,Q2,福島県の面積は62127km2くらいですか？,62127km2よりも小さいです。,[6],"[221, 103, 772]","[485, 635, 54]"
216,Q2,茨城県の面積は6209km2くらいですか？,6209km2くらいです。,[7],"[458, 744, 85]","[55, 986, 151]"
217,Q2,茨城県の面積は31764km2くらいですか？,31764km2よりも小さいです。,[7],"[540, 845, 77]","[936, 536, 736]"
218,Q2,茨城県の面積は82285km2くらいですか？,82285km2よりも小さいです。,[7],"[940, 862, 716]","[7, 438, 295]"
219,Q2,茨城県の面積は69015km2くらいですか？,69015km2よりも小さいです。,[7],"[484, 176, 45]","[486, 438, 586]"
220,Q2,栃木県の面積は6669km2くらいですか？,6669km2くらいです。,[8],"[202, 508, 684]","[687, 200, 637]"
221,Q2,栃木県の面積は82403km2くらいですか？,82403km2よりも小さいです。,[8],"[579, 156, 338]","[537, 104, 343]"
222,Q2,栃木県の面積は47341km2くらいですか？,47341km2よりも小さいです。,[8],"[875, 396, 253]","[439, 737, 787]"
223,Q2,栃木県の面積は42131km2くらいですか？,42131km2よりも小さいです。,[8],"[183, 664, 606]","[343, 887, 487]"
224,Q2,群馬県の面積は6216km2くらいですか？,6216km2くらいです。,[9],"[568, 104, 167]","[488, 9, 938]"
225,Q2,群馬県の面積は31346km2くらいですか？,31346km2よりも小さいです。,[9],"[553, 951, 18]","[297, 440, 588]"
226,Q2,群馬県の面積は82912km2くらいですか？,82912km2よりも小さいです。,[9],"[872, 701, 556]","[588, 538, 297]"
227,Q2,群馬県の面積は77339km2くらいですか？,77339km2よりも小さいです。,[9],"[205, 493, 486]","[440, 488, 538]"
